theta,item,info,a,b,c
-5,IRPM.382,0.0003966524556756136,0.91307,-0.2215,0.24
-5,IRPM.444,0.0002888147996008125,1.16807,-0.9069,0.24
-5,IRPM.496,0.00021848123277843072,1.1968,-0.865,0.24
-5,IRPM.232,0.00011288500078568033,1.09633,-0.2606,0.24
-5,IRPM.489,0.00006550539271457328,1.3192,-0.71,0.24
-5,IRPM.269,0.00006467558583332037,1.32328,-0.716,0.24
-5,IRPM.376,0.000048304703855271623,1.51538,-1.0716,0.24
-5,IRPM.99,0.000035916582741519034,1.46846,-0.866,0.24
-5,IRPM.439,0.00003400270530590905,1.17623,-0.0056,0.24
-5,IRPM.85,0.00003358305490780432,1.49583,-0.9066,0.24
-5,IRPM.129,0.000031541718642207,1.12557,0.2134,0.24
-5,IRPM.156,0.000029747838884827016,1.43293,-0.7145,0.24
-5,IRPM.59,0.000025765444330067204,1.42511,-0.6441,0.24
-5,IRPM.354,0.000023644415051109952,1.67093,-1.1633,0.24
-5,IRPM.143,0.000023481713938287023,1.3243,-0.333,0.24
-5,IRPM.307,0.00001908554722728791,1.2631,-0.062,0.24
-5,IRPM.503,0.000018213221837729254,1.14648,0.3758,0.24
-5,IRPM.286,0.00001747633868408873,1.258,-0.01,0.24
-5,IRPM.465,0.0000172886343741035,1.34198,-0.2698,0.24
-5,IRPM.196,0.000016833478091247465,1.37751,-0.363,0.24
-5,IRPM.145,0.00001457885919959349,1.47815,-0.5819,0.24
-5,IRPM.429,0.00001387085419825588,1.5878,-0.826,0.24
-5,IRPM.488,0.00001274149979315083,1.73706,-1.1082,0.24
-5,IRPM.226,0.000011926673485354822,1.12217,0.6628,0.24
-5,IRPM.32,0.000011587248969109292,1.40777,-0.3139,0.24
-5,IRPM.477,0.000010953846761564801,1.32804,-0.0554,0.24
-5,IRPM.401,0.000010618215663334715,1.40267,-0.2682,0.24
-5,IRPM.482,0.000009598718507182103,1.24338,0.2814,0.24
-5,IRPM.207,0.000009535129980988384,1.36238,-0.1101,0.24
-5,IRPM.176,0.000009426596644535941,1.49719,-0.4833,0.24
-5,IRPM.103,0.000009100524308075826,1.53085,-0.5565,0.24
-5,IRPM.268,0.000008791548576823332,1.428,-0.2732,0.24
